UserID,Age,Occupation,Primary_Work_Tool,Primary_Challenge,Primary_Challenge_Severity,Work_Challenges,Desired_Features,Tech_Comfort_Level,Willing_To_Pay,Will_Subscribe
U001,53,Writer,Figma,Mental_Fatigue,4,Fatigue;Information_Overload,Notification_Blocking;Automatic_Breaks;Predictive_Insights;Productivity_Report,4,17,Yes
U002,51,Writer,Notion,Meeting_Interruptions,3,Meeting_Interruptions;Creative_Block;Distractions,Automatic_Breaks;Calendar_Integration;Distraction_Nudge;Focus_Music,4,11,Yes
U003,31,Developer,VS_Code,Procrastination,5,Procrastination;Fatigue;Meeting_Interruptions,Adaptive_Music;Productivity_Report,4,23,No
U004,39,Analyst,Excel,Procrastination,7,Procrastination;Distractions,Automatic_Breaks;Calendar_Integration;Slack_Integration;Notification_Blocking;Productivity_Report,3,25,No
U005,30,Developer,Jupyter,Constant_Distractions,7,Distractions;Fatigue;Meeting_Interruptions,Notification_Blocking;Predictive_Insights;Team_Dashboard;Adaptive_Music,5,27,Yes
U006,30,Developer,Slack,Procrastination,9,Procrastination;Meeting_Interruptions,AI_Task_Nudge;Slack_Integration;Team_Dashboard;Adaptive_Music,4,30,Yes
U007,43,Developer,Trello,Procrastination,6,Procrastination;Meeting_Interruptions;Fatigue;Distractions,Team_Dashboard;Automatic_Breaks;Calendar_Integration;Notification_Blocking;Slack_Integration;Productivity_Report,5,30,Yes
U008,41,Writer,Word,Procrastination,3,Procrastination;Creative_Block,AI_Task_Nudge;Adaptive_Music;Focus_Music,4,14,No
U009,44,Writer,Notion,Constant_Distractions,4,Distractions;Procrastination;Creative_Block,Distraction_Nudge;Slack_Integration;Focus_Music,3,19,No
U010,42,Analyst,Jupyter,Creative_Block,5,Creative_Block;Information_Overload,Predictive_Insights;Adaptive_Music,5,24,Yes
U011,27,Analyst,Word,Procrastination,3,Procrastination;Information_Overload,Automatic_Breaks;Productivity_Report,4,17,Yes
U012,37,Developer,Slack,Creative_Block,8,Creative_Block;Meeting_Interruptions;Poor_Time_Management,AI_Task_Nudge;Automatic_Breaks;Calendar_Integration;Slack_Integration;Notification_Blocking;Productivity_Report;Distraction_Nudge,4,32,Yes
U013,41,Consultant,PyCharm,Information_Overload,9,Information_Overload;Creative_Block;Poor_Time_Management,AI_Task_Nudge;Predictive_Insights;Team_Dashboard;Notification_Blocking;Productivity_Report;Focus_Music,3,22,Yes
U014,32,Writer,Word,Information_Overload,5,Information_Overload;Creative_Block;Distractions,Team_Dashboard;Automatic_Breaks;Adaptive_Music;Notification_Blocking;Distraction_Nudge,2,14,No
U015,50,Writer,Jupyter,Mental_Fatigue,9,Fatigue;Procrastination,AI_Task_Nudge;Predictive_Insights;Team_Dashboard;Automatic_Breaks;Focus_Music;Slack_Integration;Distraction_Nudge,4,29,No
U016,20,Student,Word,Procrastination,8,Procrastination;Fatigue,AI_Task_Nudge;Automatic_Breaks;Calendar_Integration;Notification_Blocking;Focus_Music,3,15,No
U017,39,Developer,Figma,Meeting_Interruptions,8,Meeting_Interruptions;Distractions,AI_Task_Nudge;Calendar_Integration;Adaptive_Music;Focus_Music;Slack_Integration;Notification_Blocking;Productivity_Report;Distraction_Nudge,4,26,Yes
U018,24,Student,Google_Docs,Procrastination,2,Procrastination;Fatigue;Distractions,AI_Task_Nudge;Predictive_Insights,4,5,No
U019,42,Developer,Excel,Constant_Distractions,10,Distractions;Fatigue;Meeting_Interruptions,Automatic_Breaks;Calendar_Integration;Focus_Music;Slack_Integration;Productivity_Report;Distraction_Nudge,4,36,Yes
U020,45,Analyst,Jupyter,Information_Overload,8,Information_Overload;Procrastination;Distractions;Fatigue,AI_Task_Nudge;Calendar_Integration;Adaptive_Music;Slack_Integration;Notification_Blocking;Productivity_Report;Distraction_Nudge,3,31,Yes
U021,32,Developer,Jupyter,Procrastination,10,Procrastination;Meeting_Interruptions;Distractions;Fatigue,AI_Task_Nudge;Team_Dashboard;Calendar_Integration;Adaptive_Music;Slack_Integration;Notification_Blocking;Productivity_Report,4,31,Yes
U022,36,Analyst,Notion,Meeting_Interruptions,8,Meeting_Interruptions;Fatigue,Notification_Blocking;Calendar_Integration;Predictive_Insights;Distraction_Nudge,3,25,Yes
U023,52,Writer,Word,Creative_Block,5,Creative_Block;Distractions;Procrastination,Predictive_Insights;Adaptive_Music,4,14,No
U024,29,Developer,Slack,Information_Overload,2,Information_Overload;Meeting_Interruptions;Procrastination;Fatigue,AI_Task_Nudge;Predictive_Insights;Calendar_Integration;Adaptive_Music;Notification_Blocking,5,20,Yes
U025,37,Manager,Excel,Mental_Fatigue,5,Fatigue;Poor_Time_Management,Predictive_Insights;Automatic_Breaks;Calendar_Integration;Productivity_Report;Distraction_Nudge,3,13,No
U026,32,Researcher,Word,Constant_Distractions,7,Distractions;Information_Overload;Fatigue;Creative_Block,Predictive_Insights;Automatic_Breaks;Calendar_Integration;Adaptive_Music;Slack_Integration,5,32,Yes
U027,43,Analyst,Excel,Meeting_Interruptions,5,Meeting_Interruptions;Distractions,Slack_Integration;Automatic_Breaks;Notification_Blocking,3,25,No
U028,24,Student,Google_Docs,Creative_Block,5,Creative_Block;Distractions,Predictive_Insights;AI_Task_Nudge;Slack_Integration;Adaptive_Music,5,16,Yes
U029,48,Manager,Slack,Mental_Fatigue,9,Fatigue;Meeting_Interruptions;Poor_Time_Management,AI_Task_Nudge;Team_Dashboard;Calendar_Integration;Adaptive_Music;Slack_Integration;Notification_Blocking;Productivity_Report,2,21,No
U030,42,Developer,Google_Docs,Procrastination,6,Procrastination;Distractions,Slack_Integration;Predictive_Insights;Notification_Blocking;Productivity_Report,4,29,Yes
U031,34,Developer,VS_Code,Mental_Fatigue,9,Fatigue;Meeting_Interruptions,AI_Task_Nudge;Predictive_Insights;Team_Dashboard;Calendar_Integration;Notification_Blocking;Productivity_Report,4,31,Yes
U032,29,Developer,Slack,Constant_Distractions,8,Distractions;Fatigue,Predictive_Insights;Team_Dashboard;Automatic_Breaks;Distraction_Nudge;Slack_Integration;Focus_Music,4,31,Yes
